# sample_data_code: SD_BUS_ORG-MUN_SECU_SERV_CAMI_BULK_v002
# label: Bulk Business/Municipal Security Camera Installer Services
item	status	posted	service	provider	price	service_area	install_type	licensed	insurance	warranty_months	risk	cvu
001	Available	1d	Camera Install	Prairie Cameras	825	Springbrook	commercial	Yes	Confirmed	12	low	78
002	Available	2d	Camera Install	SafeSite Central	1000	Penhold	farm	Yes	Confirmed	24	low	79
003	Available	3d	Camera Install	Rural Tech Security	1175	Sylvan Lake	industrial	Yes	Confirmed	36	low	80
004	Available	4d	Camera Install	Alarm & Vision Co.	1350	Lacombe	mixed	No	Confirmed	6	low	80
005	Available	5d	Camera Install	SecureView Services	1525	Blackfalds	residential	Yes	Unconfirmed	12	medium	81
006	Available	6d	Camera Install	Example Security Installers	1700	Innisfail	commercial	Yes	Confirmed	24	low	82
007	Available	7d	Camera Install	Prairie Cameras	1875	Calgary Region	farm	Yes	Confirmed	36	low	83
008	Available	8d	Camera Install	SafeSite Central	2050	Edmonton Region	industrial	No	Confirmed	6	low	84
009	Available	9d	Camera Install	Rural Tech Security	2225	Red Deer	mixed	Yes	Confirmed	12	low	85
010	Available	10d	Camera Install	Alarm & Vision Co.	2400	Springbrook	residential	Yes	Unconfirmed	24	medium	85
011	Limited	11d	Camera Install	SecureView Services	2575	Penhold	commercial	Yes	Confirmed	36	low	86
012	Available	12d	Camera Install	Example Security Installers	2750	Sylvan Lake	farm	No	Confirmed	6	low	87
013	Available	13d	Camera Install	Prairie Cameras	2925	Lacombe	industrial	Yes	Confirmed	12	low	88
014	Available	14d	Camera Install	SafeSite Central	3100	Blackfalds	mixed	Yes	Confirmed	24	low	75
015	Available	15d	Camera Install	Rural Tech Security	3275	Innisfail	residential	Yes	Unconfirmed	36	medium	75
016	Available	16d	Camera Install	Alarm & Vision Co.	3450	Calgary Region	commercial	No	Confirmed	6	low	76
017	Available	17d	Camera Install	SecureView Services	3625	Edmonton Region	farm	Yes	Confirmed	12	low	77
018	Available	0d	Camera Install	Example Security Installers	650	Red Deer	industrial	Yes	Confirmed	24	low	81
019	Available	1d	Camera Install	Prairie Cameras	825	Springbrook	mixed	Yes	Confirmed	36	low	82
020	Available	2d	Camera Install	SafeSite Central	1000	Penhold	residential	No	Unconfirmed	6	medium	83
021	Available	3d	Camera Install	Rural Tech Security	1175	Sylvan Lake	commercial	Yes	Confirmed	12	low	84
022	Limited	4d	Camera Install	Alarm & Vision Co.	1350	Lacombe	farm	Yes	Confirmed	24	low	84
023	Available	5d	Camera Install	SecureView Services	1525	Blackfalds	industrial	Yes	Confirmed	36	low	85
024	Available	6d	Camera Install	Example Security Installers	1700	Innisfail	mixed	No	Confirmed	6	low	86
025	Available	7d	Camera Install	Prairie Cameras	1875	Calgary Region	residential	Yes	Unconfirmed	12	medium	87
026	Available	8d	Camera Install	SafeSite Central	2050	Edmonton Region	commercial	Yes	Confirmed	24	low	88
027	Available	9d	Camera Install	Rural Tech Security	2225	Red Deer	farm	Yes	Confirmed	36	low	89
028	Available	10d	Camera Install	Alarm & Vision Co.	2400	Springbrook	industrial	No	Confirmed	6	low	75
029	Available	11d	Camera Install	SecureView Services	2575	Penhold	mixed	Yes	Confirmed	12	low	76
030	Available	12d	Camera Install	Example Security Installers	2750	Sylvan Lake	residential	Yes	Unconfirmed	24	medium	77
031	Available	13d	Camera Install	Prairie Cameras	2925	Lacombe	commercial	Yes	Confirmed	36	low	78
032	Available	14d	Camera Install	SafeSite Central	3100	Blackfalds	farm	No	Confirmed	6	low	79
033	Limited	15d	Camera Install	Rural Tech Security	3275	Innisfail	industrial	Yes	Confirmed	12	low	79
034	Available	16d	Camera Install	Alarm & Vision Co.	3450	Calgary Region	mixed	Yes	Confirmed	24	low	80
035	Available	17d	Camera Install	SecureView Services	3625	Edmonton Region	residential	Yes	Unconfirmed	36	medium	81
