# sample_data_code: SD_HUM_PER-MUN_SHEL_OWN_HOME_BULK_v002
# label: Bulk Personal/Municipal Shelter Ownership Options
item	status	type	price	down	monthly	location	fees	condition	risk	cvu
001	Available	Modular	148500	29700	808	Springbrook	condo fees	fair	medium	79
002	Available	House	227000	45400	1235	Penhold	lot rent	unknown	medium	77
003	Available	Land	80500	16100	438	Sylvan Lake	taxes	excellent	high	83
004	Available	Townhouse	234000	46800	1273	Lacombe	none	good	low	79
005	Available	Condo	112500	22500	612	Blackfalds	condo fees	fair	medium	84
006	Available	Modular	166000	33200	903	Innisfail	lot rent	unknown	medium	83
007	Available	House	244500	48900	1330	Calgary Region	taxes	excellent	high	82
008	Available	Land	98000	19600	533	Edmonton Region	none	good	low	87
009	Available	Townhouse	251500	50300	1368	Red Deer	condo fees	fair	medium	83
010	Watch	Condo	130000	26000	707	Springbrook	lot rent	unknown	medium	88
011	Available	Modular	183500	36700	998	Penhold	taxes	excellent	high	87
012	Available	House	262000	52400	1425	Sylvan Lake	none	good	low	86
013	Available	Land	115500	23100	628	Lacombe	condo fees	fair	medium	79
014	Available	Townhouse	269000	53800	1463	Blackfalds	lot rent	unknown	medium	75
015	Available	Condo	147500	29500	802	Innisfail	taxes	excellent	high	80
016	Available	Modular	201000	40200	1093	Calgary Region	none	good	low	79
017	Available	House	279500	55900	1520	Edmonton Region	condo fees	fair	medium	78
018	Available	Land	133000	26600	724	Red Deer	lot rent	unknown	medium	83
019	Available	Townhouse	286500	57300	1559	Springbrook	taxes	excellent	high	79
020	Watch	Condo	165000	33000	898	Penhold	none	good	low	84
021	Available	Modular	218500	43700	1189	Sylvan Lake	condo fees	fair	medium	83
022	Available	House	297000	59400	1616	Lacombe	lot rent	unknown	medium	82
023	Available	Land	150500	30100	819	Blackfalds	taxes	excellent	high	87
024	Available	Townhouse	304000	60800	1654	Innisfail	none	good	low	84
025	Available	Condo	182500	36500	993	Calgary Region	condo fees	fair	medium	88
026	Available	Modular	236000	47200	1284	Edmonton Region	lot rent	unknown	medium	75
027	Available	House	314500	62900	1711	Red Deer	taxes	excellent	high	73
028	Available	Land	168000	33600	914	Springbrook	none	good	low	79
029	Available	Townhouse	321500	64300	1749	Penhold	condo fees	fair	medium	75
030	Watch	Condo	200000	40000	1088	Sylvan Lake	lot rent	unknown	medium	80
031	Available	Modular	253500	50700	1379	Lacombe	taxes	excellent	high	79
032	Available	House	332000	66400	1806	Blackfalds	none	good	low	78
033	Available	Land	185500	37100	1009	Innisfail	condo fees	fair	medium	83
034	Available	Townhouse	339000	67800	1844	Calgary Region	lot rent	unknown	medium	80
035	Available	Condo	217500	43500	1183	Edmonton Region	taxes	excellent	high	84
036	Available	Modular	271000	54200	1474	Red Deer	none	good	low	84
037	Available	House	220000	44000	1197	Springbrook	condo fees	fair	medium	86
038	Available	Land	73500	14700	400	Penhold	lot rent	unknown	medium	92
039	Available	Townhouse	227000	45400	1235	Sylvan Lake	taxes	excellent	high	75
040	Watch	Condo	105500	21100	574	Lacombe	none	good	low	80
041	Available	Modular	159000	31800	865	Blackfalds	condo fees	fair	medium	79
042	Available	House	237500	47500	1292	Innisfail	lot rent	unknown	medium	78
043	Available	Land	91000	18200	495	Calgary Region	taxes	excellent	high	83
044	Available	Townhouse	244500	48900	1330	Edmonton Region	none	good	low	80
045	Available	Condo	123000	24600	669	Red Deer	condo fees	fair	medium	84
046	Available	Modular	176500	35300	960	Springbrook	lot rent	unknown	medium	84
047	Available	House	255000	51000	1387	Penhold	taxes	excellent	high	82
048	Available	Land	108500	21700	590	Sylvan Lake	none	good	low	88
049	Available	Townhouse	262000	52400	1425	Lacombe	condo fees	fair	medium	84
050	Watch	Condo	140500	28100	764	Blackfalds	lot rent	unknown	medium	89
051	Available	Modular	194000	38800	1055	Innisfail	taxes	excellent	high	88
052	Available	House	272500	54500	1482	Calgary Region	none	good	low	74
053	Available	Land	126000	25200	685	Edmonton Region	condo fees	fair	medium	79
054	Available	Townhouse	279500	55900	1520	Red Deer	lot rent	unknown	medium	76
055	Available	Condo	158000	31600	860	Springbrook	taxes	excellent	high	80
056	Available	Modular	211500	42300	1151	Penhold	none	good	low	80
057	Available	House	290000	58000	1578	Sylvan Lake	condo fees	fair	medium	78
058	Available	Land	143500	28700	781	Lacombe	lot rent	unknown	medium	84
059	Available	Townhouse	297000	59400	1616	Blackfalds	taxes	excellent	high	80
060	Watch	Condo	175500	35100	955	Innisfail	none	good	low	85
061	Available	Modular	229000	45800	1246	Calgary Region	condo fees	fair	medium	84
062	Available	House	307500	61500	1673	Edmonton Region	lot rent	unknown	medium	83
063	Available	Land	161000	32200	876	Red Deer	taxes	excellent	high	88
064	Available	Townhouse	314500	62900	1711	Springbrook	none	good	low	84
065	Available	Condo	193000	38600	1050	Penhold	condo fees	fair	medium	76
066	Available	Modular	246500	49300	1341	Sylvan Lake	lot rent	unknown	medium	76
067	Available	House	325000	65000	1768	Lacombe	taxes	excellent	high	74
068	Available	Land	178500	35700	971	Blackfalds	none	good	low	80
069	Available	Townhouse	332000	66400	1806	Innisfail	condo fees	fair	medium	76
070	Watch	Condo	210500	42100	1145	Calgary Region	lot rent	unknown	medium	81
071	Available	Modular	264000	52800	1436	Edmonton Region	taxes	excellent	high	80
072	Available	House	342500	68500	1863	Red Deer	none	good	low	79
073	Available	Land	196000	39200	1066	Springbrook	condo fees	fair	medium	84
074	Available	Townhouse	220000	44000	1197	Penhold	lot rent	unknown	medium	84
075	Available	Condo	98500	19700	536	Sylvan Lake	taxes	excellent	high	89
