# sample_data_code: SD_HUM_PER-MUN_SHEL_RENT_APT_BULK_v002
# label: Bulk Personal/Municipal Shelter Rent Apartment Listings
item	status	posted	rent	bedrooms	location	utilities	transit	pets	condition	risk	cvu
001	Available	1d	1230	1	Springbrook	partial	Fair	No	good	medium	77
002	Available	2d	1260	1	Penhold	extra	Low	Ask	good	medium	78
003	Available	Today	1540	2	Sylvan Lake	unknown	Excellent	Unknown	fair	high	77
004	Available	4d	1570	2	Lacombe	included	Good	Yes	unknown	low	78
005	Available	5d	1850	3	Blackfalds	partial	Fair	No	excellent	medium	77
006	Available	Today	1010	Room	Innisfail	extra	Low	Ask	good	medium	83
007	Available	7d	1410	1	Calgary Region	unknown	Excellent	Unknown	good	high	82
008	Available	8d	1440	1	Edmonton Region	included	Good	Yes	fair	low	82
009	Watch	Today	1720	2	Red Deer	partial	Fair	No	unknown	medium	82
010	Available	10d	1750	2	Springbrook	extra	Low	Ask	excellent	medium	82
011	Available	11d	2030	3	Penhold	unknown	Excellent	Unknown	good	high	70
012	Available	Today	905	Room	Sylvan Lake	included	Good	Yes	good	low	79
013	Available	13d	1200	1	Lacombe	partial	Fair	No	fair	medium	78
014	Available	0d	1230	1	Blackfalds	extra	Low	Ask	unknown	medium	79
015	Available	Today	1510	2	Innisfail	unknown	Excellent	Unknown	excellent	high	78
016	Available	2d	1540	2	Calgary Region	included	Good	Yes	good	low	79
017	Expired	3d	1820	3	Edmonton Region	partial	Fair	No	good	medium	78
018	Watch	Today	800	Room	Red Deer	extra	Low	Ask	fair	medium	86
019	Available	5d	1380	1	Springbrook	unknown	Excellent	Unknown	unknown	high	83
020	Available	6d	1410	1	Penhold	included	Good	Yes	excellent	low	84
021	Available	Today	1690	2	Sylvan Lake	partial	Fair	No	good	medium	83
022	Available	8d	1720	2	Lacombe	extra	Low	Ask	good	medium	73
023	Available	9d	2000	3	Blackfalds	unknown	Excellent	Unknown	fair	high	72
024	Available	Today	1010	Room	Innisfail	included	Good	Yes	unknown	low	79
025	Available	11d	1560	1	Calgary Region	partial	Fair	No	excellent	medium	77
026	Available	12d	1200	1	Edmonton Region	extra	Low	Ask	good	medium	80
027	Watch	Today	1480	2	Red Deer	unknown	Excellent	Unknown	good	high	79
