# sample_data_code: SD_HUM_PER-REG_TRAN_VEH_PASS_BULK_v002
# label: Bulk Personal/Regional Passenger Vehicle Listings
item	status	posted	ask_price	year	make	model	body_style	odometer_km	condition	cert	risk	cvu
001	FS	1d	5049	2005	Honda	Odyssey	suv	92193	fair	-	low	83
002	FS	2d	5223	2006	Dodge	Grand Caravan	car	99386	unknown	-	low	84
003	FS	3d	5397	2007	Ford	Transit Connect	truck	106579	excellent	-	low	85
004	FS	4d	5571	2008	Chevrolet	Express	wagon	113772	good	-	low	86
005	FS	5d	5746	2009	GMC	Savana	van	120965	fair	Yes	low	87
006	FS	6d	5920	2010	Hyundai	Elantra	suv	128158	unknown	-	low	88
007	FS	7d	6094	2011	Kia	Sedona	car	135351	excellent	-	low	89
008	FS	8d	6268	2012	Mazda	Mazda5	truck	142544	good	-	low	90
009	FS	9d	6442	2013	Volkswagen	Golf	wagon	149737	fair	-	low	82
010	FS	10d	6617	2014	Subaru	Outback	van	156930	unknown	Yes	low	83
011	FS	11d	6791	2015	Nissan	Rogue	suv	164123	excellent	-	low	84
012	Watch	12d	6965	2016	Toyota	Sienna	car	171316	good	-	low	85
013	FS	13d	7139	2017	Honda	Odyssey	truck	178509	fair	-	low	86
014	FS	14d	7314	2018	Dodge	Grand Caravan	wagon	185702	unknown	-	low	87
015	FS	15d	7488	2019	Ford	Transit Connect	van	192895	excellent	Yes	medium	88
016	FS	16d	7662	2020	Chevrolet	Express	suv	200088	good	-	medium	89
017	FS	17d	7836	2021	GMC	Savana	car	207281	fair	-	medium	90
018	FS	18d	8010	2022	Hyundai	Elantra	truck	214474	unknown	-	medium	82
019	FS	19d	8185	2023	Kia	Sedona	wagon	221667	excellent	-	medium	83
020	FS	20d	5859	2004	Mazda	Mazda5	van	228860	good	Yes	medium	80
021	FS	0d	6033	2005	Volkswagen	Golf	suv	236053	fair	-	medium	81
022	FS	1d	6207	2006	Subaru	Outback	car	243246	unknown	-	medium	82
023	FS	2d	2242	2007	Nissan	Rogue	truck	250439	excellent	-	medium	86
024	Watch	3d	2416	2008	Toyota	Sienna	wagon	257632	good	-	medium	87
025	FS	4d	2590	2009	Honda	Odyssey	van	264825	fair	Yes	medium	88
026	FS	5d	2764	2010	Dodge	Grand Caravan	suv	272018	unknown	-	high	79
027	FS	6d	2938	2011	Ford	Transit Connect	car	279211	excellent	-	high	71
028	FS	7d	3113	2012	Chevrolet	Express	truck	286404	good	-	high	72
029	FS	8d	3287	2013	GMC	Savana	wagon	293597	fair	-	high	73
030	FS	9d	3461	2014	Hyundai	Elantra	van	300790	unknown	Yes	high	74
031	FS	10d	3635	2015	Kia	Sedona	suv	307983	excellent	-	high	75
