# Active Comparator sample data v0.1
# nodes: 1000
# offer rows: 5000
node_id	item	seller	status	posted	title	ask_price	min_bid	location	quality	availability	condition	risk	cvu
ACT0991_COMPARATOR_ACTIVE_TREE_1000_	ACT0991-01	Verified Local	Available	17d	Comparator Active Tree - 1000 Nodes Offer 1	8088	7454	Central Alberta	85	86	Unknown	Unknown	60
ACT0991_COMPARATOR_ACTIVE_TREE_1000_	ACT0991-02	Atlas Services	Posted	20d	Comparator Active Tree - 1000 Nodes Offer 2	5485	4902	National	66	51	Fair	High	35
ACT0991_COMPARATOR_ACTIVE_TREE_1000_	ACT0991-03	Regional Exchange	FS	16d	Comparator Active Tree - 1000 Nodes Offer 3	579	533	National	73	91	Excellent	Unknown	62
ACT0991_COMPARATOR_ACTIVE_TREE_1000_	ACT0991-04	Red Deer Market	Available	4d	Comparator Active Tree - 1000 Nodes Offer 4	1313	1225	Calgary Region	60	99	Good	Unknown	65
ACT0991_COMPARATOR_ACTIVE_TREE_1000_	ACT0991-05	Atlas Services	Limited	9d	Comparator Active Tree - 1000 Nodes Offer 5	8020	7556	Central Alberta	80	70	New	Low	58
ACT0055_FOOD	ACT0055-01	Quality Source	FS	1d	Food Offer 1	704	672	National	60	68	Unknown	High	54
ACT0055_FOOD	ACT0055-02	Atlas Services	Limited	11d	Food Offer 2	1149	982	Provincial	86	35	Unknown	Medium	52
ACT0055_FOOD	ACT0055-03	Red Deer Market	Watch	5d	Food Offer 3	2724	2294	Central Alberta	53	46	Unknown	Unknown	42
ACT0055_FOOD	ACT0055-04	Regional Exchange	Limited	21d	Food Offer 4	1351	1166	Municipal	47	48	Fair	Medium	47
ACT0055_FOOD	ACT0055-05	Central Listings	Available	5d	Food Offer 5	99	91	Red Deer	68	88	Unknown	Medium	62
ACT0009_FRUIT	ACT0009-01	Prairie Value Co.	FS	2d	Fruit Offer 1	3945	3460	Provincial	59	83	Excellent	Medium	49
ACT0009_FRUIT	ACT0009-02	Quality Source	Available	13d	Fruit Offer 2	5598	4690	Central Alberta	66	70	Good	Medium	48
ACT0009_FRUIT	ACT0009-03	Open Offer Ltd.	FS	12d	Fruit Offer 3	2079	1909	Central Alberta	59	78	Excellent	Unknown	61
ACT0009_FRUIT	ACT0009-04	Red Deer Market	Available	20d	Fruit Offer 4	6580	5913	Provincial	60	49	Excellent	Medium	44
ACT0009_FRUIT	ACT0009-05	Atlas Services	FS	13d	Fruit Offer 5	1696	1421	Municipal	76	95	Unknown	Medium	69
ACT0001_APPLES	ACT0001-01	Verified Local	Watch	4d	Apples Offer 1	8397	6891	Red Deer	54	98	Unknown	Unknown	47
ACT0001_APPLES	ACT0001-02	Regional Exchange	Available	7d	Apples Offer 2	2446	2307	Calgary Region	92	76	Excellent	Unknown	68
ACT0001_APPLES	ACT0001-03	Red Deer Market	Limited	3d	Apples Offer 3	7717	7126	Municipal	93	44	Unknown	Unknown	45
ACT0001_APPLES	ACT0001-04	Budget Direct	Limited	15d	Apples Offer 4	4310	3667	National	92	73	Good	Low	68
ACT0001_APPLES	ACT0001-05	Verified Local	Available	19d	Apples Offer 5	456	403	Red Deer	62	36	Good	Medium	49
ACT0002_BANANAS	ACT0002-01	Regional Exchange	Posted	21d	Bananas Offer 1	2659	2227	Municipal	84	57	Fair	Low	69
ACT0002_BANANAS	ACT0002-02	Prairie Value Co.	FS	17d	Bananas Offer 2	3305	2968	Calgary Region	69	95	New	Low	75
ACT0002_BANANAS	ACT0002-03	Central Listings	Posted	10d	Bananas Offer 3	2054	1900	Online	96	85	Fair	High	64
ACT0002_BANANAS	ACT0002-04	Central Listings	Available	8d	Bananas Offer 4	3811	3285	Online	80	67	Good	Unknown	56
ACT0002_BANANAS	ACT0002-05	Central Listings	Limited	17d	Bananas Offer 5	1558	1341	Provincial	79	51	Unknown	High	49
ACT0003_BERRIES	ACT0003-01	Budget Direct	Posted	4d	Berries Offer 1	6357	5453	Online	85	79	New	Low	64
ACT0003_BERRIES	ACT0003-02	Red Deer Market	FS	4d	Berries Offer 2	7392	6249	Provincial	86	100	New	Low	71
ACT0003_BERRIES	ACT0003-03	Verified Local	Available	0d	Berries Offer 3	4992	4336	Municipal	70	76	Good	Medium	54
ACT0003_BERRIES	ACT0003-04	Budget Direct	FS	3d	Berries Offer 4	5880	5053	Municipal	50	43	Good	Unknown	38
ACT0003_BERRIES	ACT0003-05	Budget Direct	Limited	21d	Berries Offer 5	3279	2806	Red Deer	69	81	Excellent	Low	70
ACT0004_CITRUS	ACT0004-01	Red Deer Market	Posted	3d	Citrus Offer 1	5219	4753	Online	51	82	Good	Low	61
ACT0004_CITRUS	ACT0004-02	Budget Direct	Watch	21d	Citrus Offer 2	1567	1330	Municipal	70	55	Fair	High	47
